run_name,split,game_type,setting,task_id,num_players,rounds,cooperation_rate,nash_deviation_rate,invalid_action_rate,average_payoff,social_welfare,summary_path
game_asset_protocol_api_20260720_s714_ipd_test_001_persona,test,iterated_prisoners_dilemma,persona,ipd_test_001,2,8,1.0,1.0,0.0,3.0,48.0,trajectories\game_asset_protocol_api_20260720_s714_ipd_test_001_persona\summary.json
game_asset_protocol_api_20260720_s712_ipd_test_001_reuse_assets,test,iterated_prisoners_dilemma,reuse_assets,ipd_test_001,2,8,1.0,1.0,0.0,3.0,48.0,trajectories\game_asset_protocol_api_20260720_s712_ipd_test_001_reuse_assets\summary.json
game_asset_protocol_api_20260720_s713_ipd_test_001_reuse_assets,test,iterated_prisoners_dilemma,reuse_assets,ipd_test_001,2,8,0.9375,0.9375,0.0,2.9375,47.0,trajectories\game_asset_protocol_api_20260720_s713_ipd_test_001_reuse_assets\summary.json
game_asset_protocol_api_20260720_s714_ipd_test_001_reuse_assets,test,iterated_prisoners_dilemma,reuse_assets,ipd_test_001,2,8,1.0,1.0,0.0,3.0,48.0,trajectories\game_asset_protocol_api_20260720_s714_ipd_test_001_reuse_assets\summary.json
game_asset_protocol_api_20260720_s712_pg_test_001_no_persona,test,public_goods,no_persona,pg_test_001,4,6,0.875,0.875,0.0,15.25,366.0,trajectories\game_asset_protocol_api_20260720_s712_pg_test_001_no_persona\summary.json
game_asset_protocol_api_20260720_s713_pg_test_001_no_persona,test,public_goods,no_persona,pg_test_001,4,6,0.041666666666666664,0.041666666666666664,0.0,10.25,246.0,trajectories\game_asset_protocol_api_20260720_s713_pg_test_001_no_persona\summary.json
game_asset_protocol_api_20260720_s714_pg_test_001_no_persona,test,public_goods,no_persona,pg_test_001,4,6,0.9166666666666666,0.9166666666666666,0.0,15.5,372.0,trajectories\game_asset_protocol_api_20260720_s714_pg_test_001_no_persona\summary.json
game_asset_protocol_api_20260720_s712_pg_test_001_persona,test,public_goods,persona,pg_test_001,4,6,1.0,1.0,0.0,16.0,384.0,trajectories\game_asset_protocol_api_20260720_s712_pg_test_001_persona\summary.json
game_asset_protocol_api_20260720_s713_pg_test_001_persona,test,public_goods,persona,pg_test_001,4,6,0.625,0.625,0.0,13.75,330.0,trajectories\game_asset_protocol_api_20260720_s713_pg_test_001_persona\summary.json
game_asset_protocol_api_20260720_s714_pg_test_001_persona,test,public_goods,persona,pg_test_001,4,6,0.625,0.625,0.0,13.75,330.0,trajectories\game_asset_protocol_api_20260720_s714_pg_test_001_persona\summary.json
game_asset_protocol_api_20260720_s712_pg_test_001_reuse_assets,test,public_goods,reuse_assets,pg_test_001,4,6,1.0,1.0,0.0,16.0,384.0,trajectories\game_asset_protocol_api_20260720_s712_pg_test_001_reuse_assets\summary.json
game_asset_protocol_api_20260720_s713_pg_test_001_reuse_assets,test,public_goods,reuse_assets,pg_test_001,4,6,1.0,1.0,0.0,16.0,384.0,trajectories\game_asset_protocol_api_20260720_s713_pg_test_001_reuse_assets\summary.json
game_asset_protocol_api_20260720_s714_pg_test_001_reuse_assets,test,public_goods,reuse_assets,pg_test_001,4,6,0.9583333333333334,0.9583333333333334,0.0,15.75,378.0,trajectories\game_asset_protocol_api_20260720_s714_pg_test_001_reuse_assets\summary.json
