run_name,split,setting,mode,reuse_strategy,seed,num_tasks,success_rate,successes,specialization_index,task_overlap_rate,asset_routing_rate,prompt_tokens,completion_tokens,total_tokens,wall_time_sec,summary_path
apps_protocol_qwen27b_20260722_s714_test_reuse_prompt,test,reuse_prompt,free,prompt,714,20,0.85,17,1.0,0.0,0.0,217549,42790,260339,612.2607,trajectories/apps_protocol_qwen27b_20260722_s714_test_reuse_prompt/summary.json
apps_protocol_qwen27b_20260722_s714_test_reuse_routing,test,reuse_routing,free,routing,714,20,0.85,17,1.0,0.0,1.0,177087,36641,213728,505.7745,trajectories/apps_protocol_qwen27b_20260722_s714_test_reuse_routing/summary.json
apps_protocol_qwen9b_20260722_s712_shifted_test_free,shifted_test,free,free,none,712,15,0.5333333333333333,8,0.6891171567847997,0.3333333333333333,0.0,171248,41081,212329,327.6739,trajectories/apps_protocol_qwen9b_20260722_s712_shifted_test_free/summary.json
apps_protocol_qwen9b_20260722_s712_shifted_test_manual,shifted_test,manual,manual,none,712,15,0.3333333333333333,5,1.0,0.0,0.0,165565,26562,192127,215.7936,trajectories/apps_protocol_qwen9b_20260722_s712_shifted_test_manual/summary.json
apps_protocol_qwen9b_20260722_s712_shifted_test_random,shifted_test,random,random,none,712,15,0.4666666666666667,7,0.10720695178171874,1.0,0.0,162337,24172,186509,203.0348,trajectories/apps_protocol_qwen9b_20260722_s712_shifted_test_random/summary.json
apps_protocol_qwen9b_20260722_s712_shifted_test_reuse_full,shifted_test,reuse_full,free,full,712,15,0.4,6,0.7195293084075729,0.2222222222222222,0.6666666666666666,192527,31788,224315,257.2062,trajectories/apps_protocol_qwen9b_20260722_s712_shifted_test_reuse_full/summary.json
apps_protocol_qwen9b_20260722_s712_shifted_test_reuse_prompt,shifted_test,reuse_prompt,free,prompt,712,15,0.3333333333333333,5,0.30336837721706167,1.0,0.0,186292,19663,205955,171.1553,trajectories/apps_protocol_qwen9b_20260722_s712_shifted_test_reuse_prompt/summary.json
apps_protocol_qwen9b_20260722_s712_shifted_test_reuse_routing,shifted_test,reuse_routing,free,routing,712,15,0.3333333333333333,5,0.7904735717957316,0.3333333333333333,0.6666666666666666,162861,23619,186480,195.1224,trajectories/apps_protocol_qwen9b_20260722_s712_shifted_test_reuse_routing/summary.json
apps_protocol_qwen9b_20260722_s712_test_free,test,free,free,none,712,20,0.5,10,0.26917717215689213,1.0,0.0,175088,29408,204496,252.1239,trajectories/apps_protocol_qwen9b_20260722_s712_test_free/summary.json
apps_protocol_qwen9b_20260722_s712_test_manual,test,manual,manual,none,712,20,0.55,11,1.0,0.0,0.0,171120,38187,209307,300.0832,trajectories/apps_protocol_qwen9b_20260722_s712_test_manual/summary.json
apps_protocol_qwen9b_20260722_s712_test_random,test,random,random,none,712,20,0.45,9,0.029597480061273163,1.0,0.0,173289,43702,216991,334.4777,trajectories/apps_protocol_qwen9b_20260722_s712_test_random/summary.json
apps_protocol_qwen9b_20260722_s712_test_reuse_full,test,reuse_full,free,full,712,20,0.6,12,0.5098048306553424,0.1111111111111111,0.6666666666666666,207435,27164,234599,229.6026,trajectories/apps_protocol_qwen9b_20260722_s712_test_reuse_full/summary.json
apps_protocol_qwen9b_20260722_s712_test_reuse_prompt,test,reuse_prompt,free,prompt,712,20,0.4,8,0.4704710276874667,1.0,0.0,207706,27621,235327,224.7858,trajectories/apps_protocol_qwen9b_20260722_s712_test_reuse_prompt/summary.json
apps_protocol_qwen9b_20260722_s712_test_reuse_routing,test,reuse_routing,free,routing,712,20,0.55,11,0.7994514102842953,0.3333333333333333,0.6666666666666666,176013,29274,205287,232.6081,trajectories/apps_protocol_qwen9b_20260722_s712_test_reuse_routing/summary.json
apps_protocol_qwen9b_20260722_s713_shifted_test_free,shifted_test,free,free,none,713,15,0.5333333333333333,8,1.0,0.0,0.0,164722,27342,192064,231.9496,trajectories/apps_protocol_qwen9b_20260722_s713_shifted_test_free/summary.json
apps_protocol_qwen9b_20260722_s713_shifted_test_manual,shifted_test,manual,manual,none,713,15,0.5333333333333333,8,1.0,0.0,0.0,163913,29127,193040,243.2429,trajectories/apps_protocol_qwen9b_20260722_s713_shifted_test_manual/summary.json
apps_protocol_qwen9b_20260722_s713_shifted_test_random,shifted_test,random,random,none,713,15,0.4666666666666667,7,0.08023608498004034,1.0,0.0,166314,29425,195739,239.1082,trajectories/apps_protocol_qwen9b_20260722_s713_shifted_test_random/summary.json
apps_protocol_qwen9b_20260722_s713_shifted_test_reuse_full,shifted_test,reuse_full,free,full,713,15,0.3333333333333333,5,0.7323404226133124,0.3333333333333333,0.6666666666666666,194093,33256,227349,263.5249,trajectories/apps_protocol_qwen9b_20260722_s713_shifted_test_reuse_full/summary.json
apps_protocol_qwen9b_20260722_s713_shifted_test_reuse_prompt,shifted_test,reuse_prompt,free,prompt,713,15,0.4,6,0.34113454910341034,1.0,0.0,184520,19265,203785,170.9806,trajectories/apps_protocol_qwen9b_20260722_s713_shifted_test_reuse_prompt/summary.json
apps_protocol_qwen9b_20260722_s713_shifted_test_reuse_routing,shifted_test,reuse_routing,free,routing,713,15,0.3333333333333333,5,0.7936480105244708,0.3333333333333333,0.6666666666666666,171161,33106,204267,263.9583,trajectories/apps_protocol_qwen9b_20260722_s713_shifted_test_reuse_routing/summary.json
apps_protocol_qwen9b_20260722_s713_test_free,test,free,free,none,713,20,0.55,11,0.6332691014821462,0.6666666666666666,0.0,171313,33424,204737,264.365,trajectories/apps_protocol_qwen9b_20260722_s713_test_free/summary.json
apps_protocol_qwen9b_20260722_s713_test_manual,test,manual,manual,none,713,20,0.5,10,1.0,0.0,0.0,174095,38244,212339,300.2655,trajectories/apps_protocol_qwen9b_20260722_s713_test_manual/summary.json
apps_protocol_qwen9b_20260722_s713_test_random,test,random,random,none,713,20,0.4,8,0.07042192492885396,1.0,0.0,170476,29286,199762,236.3928,trajectories/apps_protocol_qwen9b_20260722_s713_test_random/summary.json
apps_protocol_qwen9b_20260722_s713_test_reuse_full,test,reuse_full,free,full,713,20,0.4,8,0.7994514102842953,0.3333333333333333,0.6666666666666666,205264,20199,225463,170.2792,trajectories/apps_protocol_qwen9b_20260722_s713_test_reuse_full/summary.json
apps_protocol_qwen9b_20260722_s713_test_reuse_prompt,test,reuse_prompt,free,prompt,713,20,0.35,7,0.4704710276874667,1.0,0.0,212449,26324,238773,212.7918,trajectories/apps_protocol_qwen9b_20260722_s713_test_reuse_prompt/summary.json
apps_protocol_qwen9b_20260722_s713_test_reuse_routing,test,reuse_routing,free,routing,713,20,0.4,8,0.8683210484916373,0.3333333333333333,0.6666666666666666,167340,24380,191720,198.7095,trajectories/apps_protocol_qwen9b_20260722_s713_test_reuse_routing/summary.json
apps_protocol_qwen9b_20260722_s714_shifted_test_free,shifted_test,free,free,none,714,15,0.5333333333333333,8,0.47631562662288146,0.6666666666666666,0.0,165537,27039,192576,230.6039,trajectories/apps_protocol_qwen9b_20260722_s714_shifted_test_free/summary.json
apps_protocol_qwen9b_20260722_s714_shifted_test_manual,shifted_test,manual,manual,none,714,15,0.4666666666666667,7,1.0,0.0,0.0,166094,33670,199764,268.9067,trajectories/apps_protocol_qwen9b_20260722_s714_shifted_test_manual/summary.json
apps_protocol_qwen9b_20260722_s714_shifted_test_random,shifted_test,random,random,none,714,15,0.4,6,0.13784694948255005,0.8888888888888888,0.0,170400,40052,210452,309.5812,trajectories/apps_protocol_qwen9b_20260722_s714_shifted_test_random/summary.json
apps_protocol_qwen9b_20260722_s714_shifted_test_reuse_full,shifted_test,reuse_full,free,full,714,15,0.4666666666666667,7,0.7283376170405198,0.2222222222222222,0.6666666666666666,190321,29427,219748,241.7969,trajectories/apps_protocol_qwen9b_20260722_s714_shifted_test_reuse_full/summary.json
apps_protocol_qwen9b_20260722_s714_shifted_test_reuse_prompt,shifted_test,reuse_prompt,free,prompt,714,15,0.4,6,0.13820295872399088,1.0,0.0,188090,27785,215875,230.2097,trajectories/apps_protocol_qwen9b_20260722_s714_shifted_test_reuse_prompt/summary.json
apps_protocol_qwen9b_20260722_s714_shifted_test_reuse_routing,shifted_test,reuse_routing,free,routing,714,15,0.4666666666666667,7,0.6926740021835224,0.2222222222222222,0.6666666666666666,165191,27683,192874,226.6578,trajectories/apps_protocol_qwen9b_20260722_s714_shifted_test_reuse_routing/summary.json
apps_protocol_qwen9b_20260722_s714_test_free,test,free,free,none,714,20,0.5,10,0.1804104684857164,1.0,0.0,180976,29645,210621,235.9177,trajectories/apps_protocol_qwen9b_20260722_s714_test_free/summary.json
apps_protocol_qwen9b_20260722_s714_test_manual,test,manual,manual,none,714,20,0.5,10,1.0,0.0,0.0,177896,36460,214356,287.9559,trajectories/apps_protocol_qwen9b_20260722_s714_test_manual/summary.json
apps_protocol_qwen9b_20260722_s714_test_random,test,random,random,none,714,20,0.55,11,0.05138760608029172,1.0,0.0,171454,30493,201947,240.1613,trajectories/apps_protocol_qwen9b_20260722_s714_test_random/summary.json
apps_protocol_qwen9b_20260722_s714_test_reuse_full,test,reuse_full,free,full,714,20,0.5,10,0.7994514102842953,0.3333333333333333,0.6666666666666666,207551,37328,244879,290.3247,trajectories/apps_protocol_qwen9b_20260722_s714_test_reuse_full/summary.json
apps_protocol_qwen9b_20260722_s714_test_reuse_prompt,test,reuse_prompt,free,prompt,714,20,0.4,8,0.29111019881580047,1.0,0.0,206153,26067,232220,211.8042,trajectories/apps_protocol_qwen9b_20260722_s714_test_reuse_prompt/summary.json
apps_protocol_qwen9b_20260722_s714_test_reuse_routing,test,reuse_routing,free,routing,714,20,0.55,11,0.6845351232142713,0.0,0.6666666666666666,178809,30177,208986,243.572,trajectories/apps_protocol_qwen9b_20260722_s714_test_reuse_routing/summary.json
